ID,Species,Interactions,Connectance,Type of interactions,Type of data,Reference,Locality of Study,Latitude,Longitude
A_HP_002,42,96,0.222,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Akmolinsk,51.166667,71.416667
A_HP_003,32,108,0.522,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Altai,49,89
A_HP_004,27,52,0.413,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Amur,50.283333,127.533333
A_HP_006,53,123,0.208,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Armenia,40.183529,44.516602
A_HP_007,25,43,0.316,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Central Yakutia,66.4,129.166667
A_HP_008,32,37,0.193,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Chimkent,42.316667,69.595833
A_HP_009,36,97,0.315,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Dzhungarsky Alatau,45,80
A_HP_010,49,88,0.158,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",East Balkhash,46.166667,74.333333
A_HP_012,30,63,0.391,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Gissar,38.7775,68.423056
A_HP_016,27,52,0.413,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Khabarovsk,48.483333,135.066667
A_HP_018,36,127,0.403,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Kostroma,57.766667,40.933333
A_HP_019,27,36,0.222,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Krasnojarsk,56.016667,93.066667
A_HP_030,29,51,0.243,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",North Russian Far East,65.694476,148.710938
A_HP_031,56,174,0.225,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Novosibirsk,55.016667,82.933333
A_HP_033,47,198,0.36,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Poland,52.233333,21.016667
A_HP_034,17,35,0.486,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Pre-Polar Urals,65.127638,60.644531
A_HP_037,38,90,0.252,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Slovakia,48.719961,19.493866
A_HP_038,30,52,0.26,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Southwestern Azerbajan,39.661742,46.761932
A_HP_041,21,50,0.455,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Taimyr,72.659588,96.152344
A_HP_042,53,84,0.125,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Tarbagatai,47.734879,82.036028
A_HP_044,53,197,0.281,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Tomsk-Tumen,54.562508,75.591431
A_HP_047,37,100,0.35,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Tyva,51.851049,95.765076
A_HP_048,26,71,0.423,Host-Parasite,1,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Ural Valley,51.420062,52.362815
GW_168,,,,,,"B.A. Hawkins, and R.D. Goeden. (1984). Organization of a parasitoid community associated with a complex of galls on Atriplex spp. in Southern California. Ecological Entemology, 9, pp. 271-292.",California,34.10231964,-114.6822193
GW_325,,,,,,"Lewis, O.T., Memmott, J., Lasalle, J., Lyal, C.H.C., Whitefoord, C., and Godfray, C.J. (2002). Structure of a Diverse Tropical Forest Insect-Parasitoid Community. Journal of Animal Ecology. 71, pp. 855-873.",Belize,16.73348654,-88.98623133
